atom,node,signed_weight,sampling_probability,sign_record,importance_score_order_0
0,0.019826532267005523,-0.6263975202722428,0.2608323774888943,-1,-2.40153283998998
1,0.12942143496593872,0.6199498168348376,0.2581475491450803,1,2.40153283998998
2,0.2950420036616848,0.5921198733170435,0.2465591406693044,1,2.40153283998998
3,0.5266898453623859,0.3211350863146134,0.13372088066717977,1,2.40153283998998
4,0.814059045463453,0.14195366099001397,0.059109606425622005,1,2.40153283998998
5,0.9418486479939021,-0.08095594812758317,0.03371011496470769,-1,-2.40153283998998
6,1.0,0.019020934133646014,0.00792033063921182,1,2.40153283998998
