time,half_diamond_distance,diamond_norm,perfectly_distinguishable,legacy_scale
0.01,0.02182588674832587,0.04365177349665174,False,0.13044237640961015
0.010577808837653462,0.023086787789412727,0.046173575578825454,False,0.13044237640961015
0.011189003980593967,0.02442050479722853,0.04884100959445706,False,0.13044237640961015
0.011835514519046667,0.02583123779933275,0.0516624755986655,False,0.13044237640961015
0.012519381007774768,0.02732342815687152,0.05464685631374304,False,0.13044237640961015
0.013242761906599083,0.028901772261721567,0.057803544523443134,False,0.13044237640961015
0.014007940393056438,0.03057123597968522,0.06114247195937044,False,0.13044237640961015
0.014817331568699528,0.03233706987453049,0.06467413974906099,False,0.13044237640961015
0.015673490081783148,0.034204825248129685,0.06840965049625937,False,0.13044237640961015
0.016579118190395967,0.03618037103220672,0.07236074206441344,False,0.13044237640961015
0.017537074291487178,0.038269911567098996,0.07653982313419799,False,0.13044237640961015
0.01855038194270784,0.04048000530248037,0.08096001060496073,False,0.13044237640961015
0.019622239405542218,0.0428175844539893,0.0856351689079786,False,0.13044237640961015
0.020756029739849646,0.04528997564816997,0.09057995129633994,False,0.13044237640961015
0.021955331481677963,0.0479049215857834,0.0958098431715668,False,0.13044237640961015
0.023223929938050454,0.05067060375036687,0.10134120750073373,False,0.13044237640961015
0.024565829134375487,0.053595666184602875,0.10719133236920575,False,0.13044237640961015
0.02598526445218819,0.05668924035143613,0.11337848070287226,False,0.13044237640961015
0.027486715997111857,0.059960971089693345,0.11992194217938669,False,0.13044237640961015
0.029074922739232054,0.06342104366482451,0.12684208732964902,False,0.13044237640961015
0.030754897470514055,0.06708021190399131,0.13416042380798263,False,0.13044237640961015
0.03253194262647295,0.07094982739058163,0.14189965478116326,False,0.13044237640961015
0.03441166702203411,0.07504186967580029,0.15008373935160058,False,0.13044237640961015
0.036400003554406056,0.07936897744365805,0.1587379548873161,False,0.13044237640961015
0.03850322792884137,0.08394448053968831,0.16788896107937662,False,0.13044237640961015
0.040727978466388405,0.08878243274216628,0.17756486548433256,False,0.13044237640961015
0.04308127705615229,0.09389764511649014,0.18779529023298028,False,0.13044237640961015
0.04557055131819652,0.09930571974742645,0.1986114394948529,False,0.13044237640961015
0.04820365804703597,0.10502308358866316,0.21004616717732633,False,0.13044237640961015
0.05098890800971625,0.1110670221029063,0.2221340442058126,False,0.13044237640961015
