moment_grid_size,minimum_grid_negative_mass,positive_mass,negative_mass,moment_residual,analytic_continuum_negative_mass_lower_bound,active_positive_atoms,active_negative_atoms
61,0.4068556092982993,1.4068556092983253,0.4068556092982993,2.5979218776228663e-14,0.07152755810446826,6,1
121,0.4067611265971228,1.406761126597123,0.4067611265971228,2.220446049250313e-16,0.07152755810446826,6,1
241,0.4067108847794798,1.4067108847794798,0.4067108847794798,5.551115123125783e-17,0.07152755810446826,6,1
