seed,half_distance,iterations,success
0,0.5233281002710423,224,True
1,0.5233281002710417,366,True
2,0.5233281002710419,310,True
3,0.523328100271042,312,True
4,0.5233281002710424,368,True
5,0.5233281002710413,245,True
6,0.5233281002710422,255,True
7,0.5233281002710422,297,True
