angle_quantization_radians,unitary_reconstruction_residual,unitarity_residual,povm_completeness_residual,maximum_effect_operator_error
0.0,2.066438564614521e-15,2.9259253603590278e-15,2.004513345622444e-15,1.1079213534241985e-15
1e-06,3.2667686237848256e-06,2.618503640090797e-15,1.3356210024803814e-15,1.334912651368367e-06
0.0001,0.00030635095313428536,2.7731991624815414e-15,8.941123687239542e-16,0.0001404653597840031
0.001,0.003041337653267417,1.937284176864718e-15,8.955319434821827e-16,0.0011612421692258092
