carrier,vertices,edges,diameter,strict_normalized_spectral_entropy,strict_spectral_radius_per_vertex,strict_frobenius_per_edge_sqrt,legacy_normalized_spectral_entropy,legacy_strict_commutator,strict_formula_ratios_d1_to_diameter_cap6,formula_parameters_identical_by_construction
cycle_C12,12,12,6,2.256093585465814,0.1383589398971749,0.7334600055874041,2.0642448012711556,2.5703521317566537e-15,"[1.0, 0.4086157576023667, 0.19453489669882112, 0.1000651115192005, 0.051344593608189326, 0.02355564853527757]",True
path_P12,12,11,11,2.2543057674687117,0.12496388340898752,0.72570777145196,2.031061215582236,7.177834446865344,"[1.0, 0.4086157576023667, 0.19453489669882112, 0.1000651115192005, 0.051344593608189326, 0.02355564853527757]",True
random_3_regular_12,12,18,5,2.1206609188864562,0.2044063739411662,0.7414487368620306,2.122567928836015,7.401417130448093,"[1.0, 0.4086157576023667, 0.19453489669882112, 0.1000651115192005, 0.051344593608189326]",True
barbell_irregular_12,12,23,5,2.2147259160535717,0.19990022195634505,0.6947906300276054,1.9209275057239006,14.576547647793532,"[1.0, 0.4086157576023667, 0.19453489669882112, 0.1000651115192005, 0.051344593608189326]",True
complete_K12,12,66,1,1.8920948169591303,0.4308201999246018,0.6646601123756292,1.8920948169591303,0.0,[1.0],True
grid_3x4,12,17,5,2.1279194483490356,0.20234318527879538,0.7457654455420195,2.246800974187646,17.35094849242326,"[1.0, 0.4086157576023667, 0.19453489669882112, 0.1000651115192005, 0.051344593608189326]",True
