row_type,setting,unitary_operator_error,maximum_vertex_tv_error,median_relative_generator_error,p95_relative_generator_error,median_witness_prediction_tv,p95_witness_prediction_tv
mesh_quantization,0.0,1.0655744359345632e-15,5.156465532341059e-16,,,,
mesh_quantization,1e-05,2.642975993789648e-05,9.632144256524564e-06,,,,
mesh_quantization,0.0001,0.00018149048694233986,9.022912763475936e-05,,,,
mesh_quantization,0.001,0.0027136004747579296,0.0011726626363593512,,,,
short_time_inverse_calibration,1e-06,,,1.750848019214821e-05,1.9724330844014588e-05,3.0391280264694537e-05,3.904632056153201e-05
short_time_inverse_calibration,3e-06,,,5.35019763045705e-05,5.840053454810432e-05,8.92455809912969e-05,0.00011055124522965863
short_time_inverse_calibration,1e-05,,,0.00018105808944389663,0.00020240563246256196,0.0003101558481658877,0.0004474503318460935
short_time_inverse_calibration,3e-05,,,0.0005233306431371857,0.0005725061425919607,0.0008892839648064232,0.0010856673636107845
short_time_inverse_calibration,0.0001,,,0.0017201384952343492,0.0019238318846247,0.0029679447325237176,0.004145793074742334
short_time_inverse_calibration,0.0003,,,0.00526190885081162,0.005924590743990216,0.00918952531887553,0.011216805185201472
short_time_inverse_calibration,0.001,,,0.017140882243386467,0.020387160756533684,0.029508155554772077,0.039776841446444826
