carrier_size,candidate,value,absolute_error_from_legacy_weinberg_benchmark
12,normalized_gap,0.3219737582130896,0.09092469802644118
12,trace_square_ratio,0.0995961095191244,0.13145295066752402
12,spectral_shannon_entropy_normalized,0.9768440486623641,0.7457949884757157
12,zero_mode_fraction,0.08333333333333333,0.14771572685331508
12,alpha_geo_over_carrier_size,0.23104906018664842,0.0
16,normalized_gap,0.21405534717839766,0.016993713008250755
16,trace_square_ratio,0.07447458714817526,0.15657447303847316
16,spectral_shannon_entropy_normalized,0.9735940673334783,0.7425450071468299
16,zero_mode_fraction,0.0625,0.16854906018664842
16,alpha_geo_over_carrier_size,0.17328679513998632,0.0577622650466621
24,normalized_gap,0.06740522823409616,0.16364383195255228
24,trace_square_ratio,0.05014332921474019,0.18090573097190824
24,spectral_shannon_entropy_normalized,0.9673157267376339,0.7362666665509855
24,zero_mode_fraction,0.041666666666666664,0.18938239351998176
24,alpha_geo_over_carrier_size,0.11552453009332421,0.11552453009332421
