negative_label_probability,qubit_l1_coherence,sign_reflection_total_variation,identity_defect
0.0,1.0,1.0,0.0
0.05,0.9,0.9,0.0
0.1,0.8,0.8,0.0
0.15000000000000002,0.7,0.7,0.0
0.2,0.6,0.6,0.0
0.25,0.5,0.5,0.0
0.30000000000000004,0.3999999999999999,0.3999999999999999,0.0
0.35000000000000003,0.29999999999999993,0.29999999999999993,0.0
0.4,0.19999999999999996,0.19999999999999996,0.0
0.45,0.09999999999999998,0.09999999999999998,0.0
0.5,0.0,0.0,0.0
