ensemble,index,delay5_r2,nonlinear_prediction_r2,narma10_r2,parity3_accuracy
FIN,0,0.24730724440298357,0.7106592751037498,0.6866741123279103,0.7547058823529412
isospectral_orientation,0,0.24095362417943678,0.6969366829760995,0.6650868125735798,0.9829411764705882
isospectral_orientation,1,0.2502517332396723,0.696664139492263,0.6808966615138423,0.9588235294117647
isospectral_orientation,2,0.239118540096116,0.703600602602154,0.6748729227758816,0.9529411764705882
isospectral_orientation,3,0.23326015380284626,0.7127016345208532,0.6653606378106036,0.95
isospectral_orientation,4,0.23652531025936696,0.6596559404024689,0.653835563977001,0.9464705882352941
isospectral_orientation,5,0.23763995022644713,0.702564414780445,0.6717686601440034,0.9029411764705882
isospectral_orientation,6,0.2355656581545481,0.7040993947587522,0.6722881613759544,0.9211764705882353
isospectral_orientation,7,0.25333681632983585,0.7102469928120367,0.6725519658285247,0.9770588235294118
isospectral_orientation,8,0.24969503757043698,0.688899720842876,0.6787517558236167,0.9494117647058824
isospectral_orientation,9,0.249619569885416,0.7162621516819014,0.6836858419092083,0.9735294117647059
isospectral_orientation,10,0.23851843812928009,0.7314262791445995,0.6686033917137719,0.9564705882352941
isospectral_orientation,11,0.24574640409634851,0.7186109923269461,0.6563305474529606,1.0
isospectral_orientation,12,0.2373540908630286,0.7126902129507029,0.6621783152691038,0.9370588235294117
isospectral_orientation,13,0.23838481625579966,0.6721795638461182,0.6670866191526525,0.9341176470588235
isospectral_orientation,14,0.23907212503860387,0.69412952569854,0.674006627459529,0.9188235294117647
isospectral_orientation,15,0.24822212527411258,0.7171258731146851,0.6825711728778765,0.9841176470588235
isospectral_orientation,16,0.23849176624501733,0.693010532389748,0.6768399313538747,0.9858823529411764
isospectral_orientation,17,0.2477927848305158,0.7163142304480473,0.6760394075492965,0.9929411764705882
isospectral_orientation,18,0.2437630297834631,0.7034933752304882,0.6767156987380356,0.9782352941176471
isospectral_orientation,19,0.24268150040250458,0.6801004869592381,0.6751513529236601,0.9764705882352941
isospectral_orientation,20,0.24105664486779566,0.7065548129289929,0.6601011271234383,0.9994117647058823
isospectral_orientation,21,0.23585237753590071,0.7343864519737713,0.6641285081609212,0.9988235294117647
isospectral_orientation,22,0.24604476065050296,0.7030672817307753,0.677904122258759,0.9794117647058823
isospectral_orientation,23,0.24817975050992258,0.7122110386266971,0.6756489420186043,0.9747058823529412
isospectral_orientation,24,0.2374681311428356,0.7188013851386782,0.6663849458702982,0.9488235294117647
isospectral_orientation,25,0.23463410024259357,0.6233689949629053,0.6469612870065264,0.9764705882352941
isospectral_orientation,26,0.23916613713517054,0.7204540096017416,0.6726944224150018,0.9576470588235294
isospectral_orientation,27,0.2362101578759247,0.7149454194087983,0.675473211280172,1.0
isospectral_orientation,28,0.2381059843814205,0.705854933610641,0.668706334816952,0.9688235294117648
isospectral_orientation,29,0.24449960880098942,0.6309821552270247,0.6710324310877658,0.8776470588235294
symmetric_radius_matched,0,0.3523929751425643,0.9427872640506172,0.6563545840327201,0.7352941176470589
symmetric_radius_matched,1,0.44580622478322884,0.9579610362172863,0.6631273091063361,0.9023529411764706
symmetric_radius_matched,2,0.4154629582256101,0.9487222516749709,0.5466772843036347,0.9682352941176471
