candidate_id,ensemble,strict_fingerprint,stieltjes_memory,context_composition,chiral_covariance_scaffold,information_contraction_channel,all_five
361,random_positive_dense,0,1,1,0,1,0
362,random_positive_circulant,0,1,1,1,1,0
363,random_signed_circulant,0,1,1,1,0,0
364,strict_five_percent_circulant,1,1,1,1,1,1
365,random_positive_dense,0,1,1,0,1,0
366,random_positive_circulant,0,1,1,1,1,0
367,random_signed_circulant,0,0,1,1,0,0
368,strict_five_percent_circulant,0,1,1,1,1,0
369,random_positive_dense,0,1,1,0,1,0
370,random_positive_circulant,0,1,1,1,1,0
371,random_signed_circulant,0,0,1,1,0,0
372,strict_five_percent_circulant,1,1,1,1,1,1
373,random_positive_dense,0,1,1,0,1,0
374,random_positive_circulant,0,1,1,1,1,0
375,random_signed_circulant,0,1,1,1,0,0
376,strict_five_percent_circulant,0,1,1,1,1,0
377,random_positive_dense,0,1,1,0,1,0
378,random_positive_circulant,0,1,1,1,1,0
379,random_signed_circulant,0,0,1,1,0,0
380,strict_five_percent_circulant,0,1,1,1,1,0
381,random_positive_dense,0,1,1,0,1,0
382,random_positive_circulant,0,1,1,1,1,0
383,random_signed_circulant,0,0,1,1,0,0
384,strict_five_percent_circulant,1,1,1,1,1,1
385,random_positive_dense,0,1,1,0,1,0
386,random_positive_circulant,0,1,1,1,1,0
387,random_signed_circulant,0,0,1,1,0,0
388,strict_five_percent_circulant,0,1,1,1,1,0
389,random_positive_dense,0,1,1,0,1,0
390,random_positive_circulant,0,1,1,1,1,0
391,random_signed_circulant,0,0,1,1,0,0
392,strict_five_percent_circulant,1,1,1,1,1,1
393,random_positive_dense,0,1,1,0,1,0
394,random_positive_circulant,0,1,1,1,1,0
395,random_signed_circulant,0,0,1,1,0,0
396,strict_five_percent_circulant,1,1,1,1,1,1
397,random_positive_dense,0,1,1,0,1,0
398,random_positive_circulant,0,1,1,1,1,0
399,random_signed_circulant,0,0,1,1,0,0
400,strict_five_percent_circulant,0,1,1,1,1,0
