z,h_km_s_mpc,sigma_total,citation,reference_url,source_version,source_dataset_name
1.43,177.0,18.0,"S. Cao et al., MNRAS 514 (2022) 5827, Table 1 (CC compilation; source b: Simon et al. 2005)","https://academic.oup.com/mnras/article-abstract/514/4/5827/6612736",MNRAS_514_5827_TABLE1_CC_2022_v1,"Cosmic chronometer H(z) compiled table"
1.53,140.0,14.0,"S. Cao et al., MNRAS 514 (2022) 5827, Table 1 (CC compilation; source b: Simon et al. 2005)","https://academic.oup.com/mnras/article-abstract/514/4/5827/6612736",MNRAS_514_5827_TABLE1_CC_2022_v1,"Cosmic chronometer H(z) compiled table"
