row_type,contact,left,right,second_derivative_lower,second_derivative_upper,direct_value_lower,direct_value_upper,safe,derivative_lower,derivative_upper,lower,upper,depth
negative_contact_convex_minimum,0,0.01972637868514213,0.01992637868514213,1352.8100792430412,1367.84547320475,-1.0000006187044175,-0.9999931858843578,True,,,,,
zero_contact_concave_maximum,1,0.12932279624912224,0.12952279624912225,-103.5813827427991,-102.64829711981383,-5.163506972207942e-07,4.6893820872288874e-08,True,,,,,
zero_contact_concave_maximum,2,0.2949442572391254,0.29514425723912535,-29.27202565642965,-29.269995272220577,-1.4635722792398636e-07,1.3305111772260702e-08,True,,,,,
zero_contact_concave_maximum,3,0.5265923563527766,0.5267923563527767,-42.18154491603715,-42.067207739981775,-2.1071750865019182e-07,1.9150372390048947e-08,True,,,,,
zero_contact_concave_maximum,4,0.8139632145104395,0.8141632145104396,-168.31619697964285,-167.79150813257428,-8.407077611504022e-07,7.640153805779073e-08,True,,,,,
negative_contact_convex_minimum,5,0.941744848017408,0.941944848017408,535.2677498883768,537.2875901465659,-1.000000243814245,-0.9999973169234424,True,,,,,
endpoint_zero_monotone,6,0.9999,1.0,,,-0.002915179385267453,1.5257548794000032e-13,True,29.145732328799063,29.157766824213233,,,
noncontact_bernstein_cell,,0.0,0.01972637868514213,,,,,True,,,-0.9999931858843578,-0.6170431090296024,0
noncontact_bernstein_cell,,0.01992637868514213,0.12932279624912224,,,,,True,,,-0.999993210943324,-5.163506972173983e-07,0
noncontact_bernstein_cell,,0.12952279624912225,0.2949442572391254,,,,,True,,,-0.07414257144655553,-1.4635384389380148e-07,0
noncontact_bernstein_cell,,0.29514425723912535,0.5265923563527766,,,,,True,,,-0.10805614084491162,-1.4635722780529981e-07,0
noncontact_bernstein_cell,,0.5267923563527767,0.8139632145104395,,,,,True,,,-0.465986159102633,-2.1071750534436148e-07,0
noncontact_bernstein_cell,,0.8141632145104396,0.941744848017408,,,,,True,,,-0.9999973202900423,-8.407076961096583e-07,0
noncontact_bernstein_cell,,0.941944848017408,0.9999,,,,,True,,,-0.9999973169236352,-0.002915179384962538,0
