uses,survival_probability,coherence_factor,fraction_of_ideal_threshold,time_per_use,product_erasure_lower,ghz_lower,best_feasible_lower,adaptive_hybrid_upper,certificate_gap
1,0.7,0.7,0.25,0.17990925350134732,0.18751488185889398,0.18751488185889398,0.18751488185889398,0.18751488185889398,0.0
1,0.7,0.7,0.5,0.35981850700269463,0.3464823227814082,0.3464823227814082,0.3464823227814082,0.3464823227814082,0.0
1,0.7,0.7,0.75,0.5397277605040419,0.4527009709305304,0.45270097093053047,0.45270097093053047,0.45270097093053047,0.0
1,0.7,0.7,1.0,0.7196370140053893,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.48999999999999994,0.0
1,0.7,0.9,0.25,0.17990925350134732,0.24109056239000656,0.24109056239000656,0.24109056239000656,0.24109056239000656,0.0
1,0.7,0.9,0.5,0.35981850700269463,0.44547727214752486,0.4454772721475249,0.4454772721475249,0.4454772721475249,0.0
1,0.7,0.9,0.75,0.5397277605040419,0.5820441054821106,0.5820441054821106,0.5820441054821106,0.5820441054821106,0.0
1,0.7,0.9,1.0,0.7196370140053893,0.63,0.63,0.63,0.63,0.0
1,0.7,1.0,0.25,0.17990925350134732,0.26787840265556284,0.26787840265556284,0.26787840265556284,0.26787840265556284,0.0
1,0.7,1.0,0.5,0.35981850700269463,0.4949747468305832,0.4949747468305832,0.4949747468305832,0.4949747468305832,0.0
1,0.7,1.0,0.75,0.5397277605040419,0.6467156727579007,0.6467156727579007,0.6467156727579007,0.6467156727579007,0.0
1,0.7,1.0,1.0,0.7196370140053893,0.7,0.7,0.7,0.7,0.0
1,0.85,0.7,0.25,0.17990925350134732,0.2276966422572284,0.2276966422572284,0.2276966422572284,0.2276966422572284,0.0
1,0.85,0.7,0.5,0.35981850700269463,0.4207285348059957,0.4207285348059957,0.4207285348059957,0.4207285348059957,0.0
1,0.85,0.7,0.75,0.5397277605040419,0.5497083218442156,0.5497083218442156,0.5497083218442156,0.5497083218442156,0.0
1,0.85,0.7,1.0,0.7196370140053893,0.595,0.595,0.595,0.595,0.0
1,0.85,0.9,0.25,0.17990925350134732,0.2927528257592937,0.2927528257592937,0.2927528257592937,0.2927528257592937,0.0
1,0.85,0.9,0.5,0.35981850700269463,0.5409366876077089,0.5409366876077089,0.5409366876077089,0.5409366876077089,0.0
1,0.85,0.9,0.75,0.5397277605040419,0.7067678423711343,0.7067678423711343,0.7067678423711343,0.7067678423711343,0.0
1,0.85,0.9,1.0,0.7196370140053893,0.765,0.765,0.765,0.765,0.0
1,0.85,1.0,0.25,0.17990925350134732,0.3252809175103263,0.3252809175103263,0.3252809175103263,0.3252809175103263,0.0
1,0.85,1.0,0.5,0.35981850700269463,0.6010407640085653,0.6010407640085653,0.6010407640085653,0.6010407640085653,0.0
1,0.85,1.0,0.75,0.5397277605040419,0.7852976026345937,0.7852976026345937,0.7852976026345937,0.7852976026345937,0.0
1,0.85,1.0,1.0,0.7196370140053893,0.85,0.85,0.85,0.85,0.0
1,0.95,0.7,0.25,0.17990925350134732,0.25448448252278466,0.25448448252278466,0.25448448252278466,0.25448448252278466,0.0
1,0.95,0.7,0.5,0.35981850700269463,0.470226009489054,0.470226009489054,0.470226009489054,0.470226009489054,0.0
