blaschke_parameter,angle,modulus,phase,modulus_defect
0.2,0.0,1.0,0.0,0.0
0.2,0.782342139415357,1.0,1.1080208414468866,0.0
0.2,1.564684278830714,0.9999999999999999,1.9599389142325514,1.1102230246251565e-16
0.2,2.347026418246071,0.9999999999999998,2.59607682918332,2.220446049250313e-16
0.2,3.129368557661428,1.0,3.13344319992651,0.0
0.2,3.911710697076785,1.0000000000000002,-2.6138076898777407,2.220446049250313e-16
0.2,4.694052836492142,0.9999999999999999,-1.9824537155724957,1.1102230246251565e-16
0.2,5.476394975907499,1.0,-1.1389123647408634,0.0
0.2,6.258737115322856,1.0000000000000002,-0.03667000482344781,2.220446049250313e-16
0.5,0.0,1.0,0.0,0.0
0.5,0.782342139415357,1.0,1.7821159630187755,0.0
0.5,1.564684278830714,0.9999999999999999,2.4944153210011972,1.1102230246251565e-16
0.5,2.347026418246071,1.0,2.8636660108410865,0.0
0.5,3.129368557661428,1.0,3.137517909844503,0.0
0.5,3.911710697076785,0.9999999999999999,-2.8730248433392434,1.1102230246251565e-16
0.5,4.694052836492142,1.0,-2.509013322461949,0.0
0.5,5.476394975907499,1.0,-1.8154922162705909,0.0
0.5,6.258737115322856,0.9999999999999999,-0.0733153713295846,1.1102230246251565e-16
0.8,0.0,1.0,0.0,0.0
0.8,0.782342139415357,0.9999999999999999,2.6152697742948563,1.1102230246251565e-16
0.8,1.564684278830714,1.0000000000000002,2.918932526047251,2.220446049250313e-16
0.8,2.347026418246071,1.0,3.048416933884721,0.0
0.8,3.129368557661428,1.0,3.1402344040041963,0.0
0.8,3.911710697076785,0.9999999999999999,-3.0515888518653154,1.1102230246251565e-16
0.8,4.694052836492142,0.9999999999999999,-2.92426764157369,1.1102230246251565e-16
0.8,5.476394975907499,1.0,-2.632229630290994,0.0
0.8,6.258737115322856,0.9999999999999998,-0.21916320632788897,2.220446049250313e-16
