relative_coupling_sigma,median_generator_error_norm,p95_generator_error_norm,median_output_tv_error,p95_output_tv_error,passes_declared_tv_budget
0.0001,0.00024776531636176523,0.000418929697526747,7.078272500286626e-05,0.00012472657413428091,True
0.0003,0.00081230819433442,0.0012363888591354249,0.00022393160301823617,0.0003453191761626717,True
0.001,0.002613326247609196,0.003732559246767248,0.0007375973099071058,0.0011629799838102628,True
0.003,0.007927497173982419,0.011725022212944095,0.0022323622096356984,0.003419631086171797,True
0.01,0.025578529924072606,0.04398754604916705,0.008054257634638847,0.01193109337015048,True
0.03,0.07536903561889957,0.12919547614137172,0.021214732686791936,0.035973946636822456,True
0.05,0.12624262684475554,0.20753148304709082,0.03666601669540781,0.059936607873972154,False
0.1,0.2611070951322648,0.3936493643936556,0.0736234787578179,0.12417189699632826,False
