design,input_energy,information_minimum_eigenvalue,information_determinant,information_condition_number
zero,0.0,0.0,0.0,inf
single_pulse,160.0,8.758123183988685,3026.943897981294,39.46228903073736
sinusoid,79.5,0.8380286249997753,10.314852389256188,14.687413123129145
prbs,160.0,0.19362484944716313,1.502571892442348,40.078649071904145
random_000,160.0,0.19343369472256494,2.837052700346852,75.82338149447841
random_001,160.0,0.25745306902132264,5.656399315465544,85.33828571634203
random_002,160.0,0.6578541862457876,17.003162142513457,39.2889489633399
random_003,160.0,0.9794735257734914,13.362475196382626,13.928408907178177
random_004,160.0,0.3285723633054698,14.849021351316166,137.542137316705
random_005,160.0,0.3872556385170134,2.0258138626922717,13.508403943405899
random_006,160.0,0.5870482214454376,2.9180485640728326,8.467300290435109
random_007,160.0,0.20483707146555313,0.6820372451783062,16.255149769013226
random_008,160.0,0.2001115636141485,2.770188390021848,69.17751129342564
random_009,160.0,0.46235959090873885,2.1569305726045918,10.089657512855371
random_010,160.0,0.4692031371343775,7.0353726476546035,31.956947677262395
random_011,160.0,0.3829326176098517,3.8464924206803395,26.23132088206271
random_012,160.0,0.3079961808491847,1.896593527497881,19.993259437578843
random_013,160.0,0.15966882863345666,1.3955450185574467,54.73984614383586
random_014,160.0,0.41083978794418363,0.7184782241710845,4.2566566168042295
random_015,160.0,0.8954418691251099,12.639427070935284,15.763497920422594
random_016,160.0,0.29029498968399614,2.5748876980705973,30.55478357401787
random_017,160.0,0.4951743605354861,3.411392220794667,13.91282607283502
random_018,160.0,0.1803680016837087,2.6352922192203914,81.00462061455262
random_019,160.0,0.6572349643936103,4.818094344749361,11.154085798095135
random_020,160.0,0.1950091953031352,9.639279876521142,253.47457863536198
random_021,160.0,0.30037932111384685,7.2307562675708335,80.13895220942679
random_022,160.0,0.2986977138458381,1.8127984515706856,20.318223080588503
random_023,160.0,0.2390535872077572,1.0931072013751373,19.12811725535303
random_024,160.0,0.3567135451646199,1.321057973432742,10.382039459697129
random_025,160.0,0.4722505633084963,4.333804767012701,19.432307477480595
random_026,160.0,0.15018332577337157,0.7924326248415136,35.13329743966534
random_027,160.0,0.7176648515738395,7.27565216529797,14.126304865859225
random_028,160.0,0.26294435286962214,5.918809428057942,85.60648409249944
random_029,160.0,0.23007508082200845,1.3321105016943766,25.16524051872065
random_030,160.0,0.7536104680855293,9.4384272873694,16.619034506196364
random_031,160.0,0.43755675884896705,3.745173054697571,19.561542464646426
random_032,160.0,0.25848587924904,7.1449974617200604,106.93710743168546
random_033,160.0,0.575299181928863,4.688357983917138,14.1655438337242
random_034,160.0,0.2419048624976016,0.7408501938450271,12.660218541362168
random_035,160.0,0.2578143992696388,5.013612046732814,75.42865887431124
random_036,160.0,0.45595716097419403,8.009052200597178,38.52414799368566
random_037,160.0,0.3647677784617149,1.2038133847679222,9.04745082619485
random_038,160.0,0.495441404179078,1.367412807331049,5.570767682487108
random_039,160.0,0.3005023555434785,12.692508796111806,140.55675163380593
random_040,160.0,0.4780115680985271,15.606008152985291,68.2991054824769
random_041,160.0,0.44738810607024126,1.7416069122328228,8.701242482087808
random_042,160.0,0.29534300487990295,2.8118476928332523,32.23579717472366
random_043,160.0,0.31893591798572524,10.92302597049442,107.38314105379227
random_044,160.0,0.3524805635656829,7.15383951148046,57.579626660901205
random_045,160.0,0.2520171089723547,1.1735330763683398,18.477162758649527
random_046,160.0,0.1548446059790967,0.6447417701007094,26.890175994689137
random_047,160.0,0.2915472415048097,3.4891342243489465,41.048737402303814
random_048,160.0,0.31607313451574587,5.883831109321191,58.89589575276353
random_049,160.0,0.4368055285283695,1.5291399475797502,8.014399386536432
random_050,160.0,0.44946461675941096,6.5479409372879385,32.41259006643623
random_051,160.0,0.34126683730903606,3.7369255485606683,32.086789864174875
random_052,160.0,0.456375804950102,7.488243360202883,35.95296617499164
random_053,160.0,0.2883476540182303,2.5177098413005488,30.281182647541247
random_054,160.0,0.5852247427160917,18.618196932725958,54.36160379519056
random_055,160.0,0.5719442541763669,4.558144382263962,13.934156208747362
random_056,160.0,0.4380709552609107,3.2373093851797514,16.869231055877886
random_057,160.0,0.2864234267236281,9.137592813578802,111.3819273743506
random_058,160.0,0.6072752757858791,4.202177855885287,11.394708776279767
random_059,160.0,0.3126251530921811,2.4646755500476787,25.218074419754995
random_060,160.0,0.22450960340887555,0.9998871867758635,19.837235889945124
random_061,160.0,0.3369429968143277,2.900396325138191,25.54726881413747
random_062,160.0,0.14079419403457857,1.6027589005020113,80.85347779164968
random_063,160.0,0.20883622927558548,0.8298105506081972,19.02686629308167
random_064,160.0,0.5774297575300127,3.09949914225015,9.29593756125845
random_065,160.0,0.4664255317240782,5.735165774901237,26.36218145946177
random_066,160.0,0.27034906456475105,8.56032051886307,117.12248642914203
random_067,160.0,0.8326957581766543,12.873900821333347,18.566816893247886
random_068,160.0,0.3901663868049988,5.335377612255504,35.04817902320442
random_069,160.0,0.44930890632262027,3.544959584404589,17.55986745513333
random_070,160.0,0.253192754957508,3.6122633861547584,56.34778651585663
random_071,160.0,0.3435525058994927,12.282396090005468,104.06312350724019
random_072,160.0,0.3814136731917204,1.8939752211506773,13.019124408297492
random_073,160.0,0.2474352420342489,2.995968297032281,48.93438127308942
random_074,160.0,0.20525284011094025,1.1385565317958357,27.02565626236936
random_075,160.0,0.2876905093836782,6.090297372766887,73.58468382920424
random_076,160.0,0.7437568983818136,5.756856891646785,10.406948845995206
random_077,160.0,0.31860307199061166,2.6383919208086155,25.991981574050527
