probe_count,noise_sigma,repetition,maximum_pole_error,maximum_residue_error,relative_curve_rmse,jacobian_minimum_singular_value,jacobian_condition_number
1,0.0001,0,0.08685342431824017,0.030751755637822828,9.757517662809969e-05,2.2606110238449303e-07,101576512.2535328
1,0.0001,1,0.6616908181195891,0.34444739950834136,8.685550132674399e-05,2.2606110238449303e-07,101576512.2535328
1,0.0001,2,0.18818141092339324,0.08874986840536657,9.524499593853895e-05,2.2606110238449303e-07,101576512.2535328
1,0.0001,3,0.6616758520687491,0.31907624904647724,9.786336490141104e-05,2.2606110238449303e-07,101576512.2535328
1,0.0001,4,0.28838742282866137,0.2971237804597022,9.191987684570082e-05,2.2606110238449303e-07,101576512.2535328
1,0.0001,5,0.6616105960143441,0.03825571276241341,0.00010398038362300445,2.2606110238449303e-07,101576512.2535328
1,0.0001,6,0.6616849444737878,0.3252732129244016,8.529301212547803e-05,2.2606110238449303e-07,101576512.2535328
1,0.0001,7,0.6616649950787012,0.3230193121568448,0.00010471134781607846,2.2606110238449303e-07,101576512.2535328
1,0.0001,8,0.03958572482959011,0.01012153493121902,7.628650335959253e-05,2.2606110238449303e-07,101576512.2535328
1,0.0001,9,0.6616879497968657,0.06319062607900153,9.802146290192217e-05,2.2606110238449303e-07,101576512.2535328
1,0.0001,10,0.21631585727145497,0.06809761898556854,0.00010288268946767385,2.2606110238449303e-07,101576512.2535328
1,0.0001,11,0.6616774347185537,0.34353967364960325,0.00010388257135064624,2.2606110238449303e-07,101576512.2535328
1,0.0001,12,0.6616908181190397,0.335964936226959,8.761817654327716e-05,2.2606110238449303e-07,101576512.2535328
1,0.0001,13,0.6616908181195891,0.34432239376440676,8.239071670952665e-05,2.2606110238449303e-07,101576512.2535328
1,0.0001,14,0.08449557087663084,0.011174176129713068,8.346141950550605e-05,2.2606110238449303e-07,101576512.2535328
1,0.0001,15,0.3294482361116948,0.07339686800125839,8.459184207480061e-05,2.2606110238449303e-07,101576512.2535328
1,0.0001,16,0.20787801887668844,0.04507163134899753,7.321580646009408e-05,2.2606110238449303e-07,101576512.2535328
1,0.0001,17,0.6616892880587,0.3191782887177248,9.196994708842006e-05,2.2606110238449303e-07,101576512.2535328
1,0.0001,18,0.06204382458840785,0.05769197350162722,9.773109200730374e-05,2.2606110238449303e-07,101576512.2535328
1,0.0001,19,0.24058905456699065,0.02766271818642707,8.418740340454784e-05,2.2606110238449303e-07,101576512.2535328
1,0.0001,20,0.6616908181182324,0.34356724085760454,9.2296427545504e-05,2.2606110238449303e-07,101576512.2535328
1,0.0001,21,0.27141141026149684,0.016211654107071538,9.427305508380177e-05,2.2606110238449303e-07,101576512.2535328
1,0.0001,22,0.6616853915036924,0.33467367201131654,8.907804538264517e-05,2.2606110238449303e-07,101576512.2535328
1,0.0001,23,0.2810897311525109,0.08332256256921709,8.85170878514577e-05,2.2606110238449303e-07,101576512.2535328
1,0.001,0,0.6616907982648876,0.34021736948478387,0.0010733621386122048,2.2606110238449303e-07,101576512.2535328
1,0.001,1,0.6616908181195891,0.0887498828072171,0.0008854483496145044,2.2606110238449303e-07,101576512.2535328
1,0.001,2,0.6616908181195891,0.3457523036042147,0.0008374863775249936,2.2606110238449303e-07,101576512.2535328
1,0.001,3,0.3972534019794072,0.33008738050946784,0.0010882528925116324,2.2606110238449303e-07,101576512.2535328
1,0.001,4,0.6033461254905825,0.34862910253658197,0.0009035457855187181,2.2606110238449303e-07,101576512.2535328
1,0.001,5,0.6616908181195891,0.34276623522650657,0.0008750269109292388,2.2606110238449303e-07,101576512.2535328
1,0.001,6,0.6756009166826766,0.0887498828071991,0.0008167204094478443,2.2606110238449303e-07,101576512.2535328
1,0.001,7,0.9763284585364636,0.4294259697381278,0.001056276566813886,2.2606110238449303e-07,101576512.2535328
1,0.001,8,0.6616908181194603,0.3441396247287245,0.0009009071490714395,2.2606110238449303e-07,101576512.2535328
1,0.001,9,0.6616908181195758,0.34825187010354763,0.0009217761660858507,2.2606110238449303e-07,101576512.2535328
1,0.001,10,0.46393917037619203,0.3448072601783341,0.0009658870106027443,2.2606110238449303e-07,101576512.2535328
1,0.001,11,0.6616908181195891,0.3454497093783327,0.0011212331590530322,2.2606110238449303e-07,101576512.2535328
1,0.001,12,0.6616908181195891,0.34440749831456496,0.0009552589565513468,2.2606110238449303e-07,101576512.2535328
1,0.001,13,0.6616908181195891,0.0887498828072171,0.000879578617419176,2.2606110238449303e-07,101576512.2535328
1,0.001,14,0.6616908181195891,0.34335852314864235,0.0008495330424615846,2.2606110238449303e-07,101576512.2535328
1,0.001,15,0.6616908181195891,0.0887498828072171,0.0010606387383392916,2.2606110238449303e-07,101576512.2535328
1,0.001,16,0.661690810034413,0.0821455716597315,0.001063914299238263,2.2606110238449303e-07,101576512.2535328
1,0.001,17,0.25096031335672175,0.30775362095208525,0.0010698535955406586,2.2606110238449303e-07,101576512.2535328
1,0.001,18,0.831533997352471,0.42934803444623665,0.0010813476967387694,2.2606110238449303e-07,101576512.2535328
1,0.001,19,0.42586831106181877,0.3374678683551158,0.0010475361987432323,2.2606110238449303e-07,101576512.2535328
1,0.001,20,0.6616906219919794,0.08502201066732237,0.0010277539865739952,2.2606110238449303e-07,101576512.2535328
1,0.001,21,0.3904512092593597,0.08874988220435927,0.0009656628388374146,2.2606110238449303e-07,101576512.2535328
1,0.001,22,0.6616908181195891,0.344605322028244,0.0008843102336911972,2.2606110238449303e-07,101576512.2535328
1,0.001,23,0.6616908181195891,0.3426289061550011,0.0011079599630777989,2.2606110238449303e-07,101576512.2535328
4,0.0001,0,0.23490168911940712,0.03492385236135023,0.00010329834008461082,0.0004431148551486215,94442.79460782319
4,0.0001,1,0.19954586417961506,0.08738455623428654,9.407290570805379e-05,0.0004431148551486215,94442.79460782319
4,0.0001,2,0.11991359338158802,0.07652723316741933,9.671927860837989e-05,0.0004431148551486215,94442.79460782319
4,0.0001,3,0.10441267663001019,0.04159218972227946,9.061478500334573e-05,0.0004431148551486215,94442.79460782319
4,0.0001,4,0.18988253707660885,0.07316889633031873,8.882652608540126e-05,0.0004431148551486215,94442.79460782319
4,0.0001,5,0.2074155653428753,0.03257094876986841,8.192531640591214e-05,0.0004431148551486215,94442.79460782319
4,0.0001,6,0.05204521245973681,0.048239019812490055,9.753180289041774e-05,0.0004431148551486215,94442.79460782319
4,0.0001,7,0.043540862887532006,0.047409111004722046,9.194414514231513e-05,0.0004431148551486215,94442.79460782319
4,0.0001,8,0.12296685602829394,0.07574620509202529,9.677003710459283e-05,0.0004431148551486215,94442.79460782319
4,0.0001,9,0.18527196556061298,0.03449472793965787,9.468429210226964e-05,0.0004431148551486215,94442.79460782319
4,0.0001,10,0.09806993605286718,0.03274970301905939,0.00010493282147268757,0.0004431148551486215,94442.79460782319
4,0.0001,11,0.06289407694864035,0.020386931180484902,9.595255610159448e-05,0.0004431148551486215,94442.79460782319
4,0.0001,12,0.11413016669526388,0.06921987563740692,9.028367488519049e-05,0.0004431148551486215,94442.79460782319
4,0.0001,13,0.23490810817552044,0.03242975623308193,0.00010220272416424853,0.0004431148551486215,94442.79460782319
4,0.0001,14,0.1003384991673899,0.019278947490622464,9.407049604706106e-05,0.0004431148551486215,94442.79460782319
4,0.0001,15,0.07965499504752227,0.02626008041632858,8.869128278574099e-05,0.0004431148551486215,94442.79460782319
4,0.0001,16,0.1476208931410823,0.023748955373713895,9.003726217886e-05,0.0004431148551486215,94442.79460782319
4,0.0001,17,0.1559510688010861,0.06149161012842824,8.786254718425238e-05,0.0004431148551486215,94442.79460782319
