row_type,parameter,normalizer_minimum_eigenvalue,tester_plus_minimum_eigenvalue,tester_minus_minimum_eigenvalue,half_distance,deviation_from_center,coordinate,coefficient,full_equation_rows,full_unknown_coordinates,numerical_rank,smallest_nonzero_singular_value,smallest_singular_value,independent_127_row_minor_smallest_singular_value,selected_causal_rows
flat_segment_scout,-0.025,0.009609743891310972,-1.4609170805370602e-16,-3.218707360030006e-16,0.5233281002710415,4.440892098500626e-16,,,,,,,,,
flat_segment_scout,-0.022500000000000003,0.01586069266534459,-1.2388544954984689e-16,-2.8036546648095785e-16,0.5233281002710419,8.881784197001252e-16,,,,,,,,,
flat_segment_scout,-0.02,0.021993174432979608,-1.1334579738757034e-16,-2.302376034482319e-16,0.5233281002710415,4.440892098500626e-16,,,,,,,,,
flat_segment_scout,-0.0175,0.027984904805348935,-9.274640166926898e-17,-2.308226644122806e-16,0.5233281002710414,3.3306690738754696e-16,,,,,,,,,
flat_segment_scout,-0.015000000000000001,0.033803711417495316,-8.866089702073574e-17,-1.910169972453986e-16,0.5233281002710422,1.1102230246251565e-15,,,,,,,,,
flat_segment_scout,-0.0125,0.039400160746885377,-8.455133700989654e-17,-1.5154260124879005e-16,0.5233281002710415,4.440892098500626e-16,,,,,,,,,
flat_segment_scout,-0.010000000000000002,0.04469290069724854,-6.882298563941898e-17,-1.163212787858772e-16,0.5233281002710412,1.1102230246251565e-16,,,,,,,,,
flat_segment_scout,-0.0075,0.04953858449792519,-5.271144945300185e-17,-7.276988671971998e-17,0.5233281002710418,7.771561172376096e-16,,,,,,,,,
flat_segment_scout,-0.005000000000000001,0.05367225474554554,-3.461686054986858e-17,-1.1085218175918827e-16,0.5233281002710418,7.771561172376096e-16,,,,,,,,,
flat_segment_scout,-0.0025000000000000022,0.05661931298453541,-3.387834558193877e-17,-4.157038431399285e-17,0.5233281002710408,-2.220446049250313e-16,,,,,,,,,
flat_segment_scout,0.0,0.05772355849697268,-1.9541555702798664e-17,-4.473706455103952e-17,0.523328100271041,0.0,,,,,,,,,
flat_segment_scout,0.0024999999999999988,0.05661931298453542,-7.33823460713037e-17,-3.089158260149999e-17,0.5233281002710418,7.771561172376096e-16,,,,,,,,,
flat_segment_scout,0.0049999999999999975,0.05367225474554553,-7.398209102997757e-17,-5.3819322355141204e-17,0.5233281002710414,3.3306690738754696e-16,,,,,,,,,
flat_segment_scout,0.0075,0.04953858449792522,-1.2798780742568315e-16,-7.510759380981183e-17,0.5233281002710419,8.881784197001252e-16,,,,,,,,,
flat_segment_scout,0.010000000000000002,0.04469290069724866,-1.2765203046941325e-16,-8.531681863436736e-17,0.523328100271041,0.0,,,,,,,,,
flat_segment_scout,0.012499999999999997,0.03940016074688546,-1.6136749368550772e-16,-1.2772675576810225e-16,0.5233281002710413,2.220446049250313e-16,,,,,,,,,
flat_segment_scout,0.015,0.033803711417495344,-2.310459972028725e-16,-1.5189232904186277e-16,0.523328100271042,9.992007221626409e-16,,,,,,,,,
flat_segment_scout,0.0175,0.027984904805349018,-2.006849022196001e-16,-1.5170287140379803e-16,0.5233281002710417,6.661338147750939e-16,,,,,,,,,
flat_segment_scout,0.019999999999999997,0.021993174432979656,-2.5225709523694735e-16,-1.8835191313444263e-16,0.5233281002710413,2.220446049250313e-16,,,,,,,,,
flat_segment_scout,0.0225,0.015860692665344768,-2.569596045237885e-16,-2.0844496907400093e-16,0.5233281002710416,5.551115123125783e-16,,,,,,,,,
flat_segment_scout,0.025,0.00960974389131102,-3.5766723287412903e-16,-2.273557082096215e-16,0.5233281002710413,2.220446049250313e-16,,,,,,,,,
imaginary_causal_null_vector,,,,,,,C0_01,3.1564672335179926e-13,,,,,,,
imaginary_causal_null_vector,,,,,,,B0_01,1.0,,,,,,,
imaginary_causal_null_vector,,,,,,,B0_02,0.9999999999997288,,,,,,,
imaginary_causal_null_vector,,,,,,,B0_03,-0.029790441493359195,,,,,,,
imaginary_causal_null_vector,,,,,,,B0_12,1.466767302530173e-13,,,,,,,
imaginary_causal_null_vector,,,,,,,B0_13,0.9999999999997287,,,,,,,
imaginary_causal_null_vector,,,,,,,B0_23,0.9999999999996841,,,,,,,
rank_summary,,,,,,,,,299,128,127,0.01859135259729509,6.962781439294319e-15,0.0027267845111376807,43
