start,initial_parameter_norm,final_parameter_norm,transfer_frobenius_defect,optimizer_success,function_evaluations,distant_alias_candidate
0,0.5253467998562268,2.159488953566884e-06,4.8536162410607386e-06,True,17,False
1,0.4813357002240546,2.1213895303245204e-06,4.83299297035024e-06,True,17,False
2,0.4912078752071259,2.0211152989933336e-06,4.550350108496663e-06,True,17,False
3,0.4952123503789492,1.908542222093484e-06,4.32286812122569e-06,True,17,False
