carrier_size,signed_legacy_minimum_eigenvalue,parent_minimum_eigenvalue,parent_rank,direct_sum_rank,legacy_compression_residual,strict_compression_residual,normalized_cross_support,c12_trained_cubic_spectral_rmse,c12_trained_cubic_spectral_max_error
12,-21.377059810423745,-1.0916286914843915e-14,11,22,0.0,0.0,0.9629274868924327,0.10528177957188667,0.23587984838791853
16,-18.66603320328718,-1.0357216257821037e-14,15,30,0.0,0.0,0.9603963584919282,0.1632672081946025,0.36208151476098327
24,-33.32618215499998,-2.377622286046075e-14,23,46,0.0,0.0,0.9568293246168512,0.24439267182877447,0.5203577996051766
