observed_outcome,probability,count,baseline_probability
0,0.13773257975450048,68568,0.13670000000000002
1,0.1407647411154098,70941,0.1367
2,0.14155239595065847,70525,0.1367
3,0.1327531778958688,66165,0.13670000000000002
4,0.1307726333852054,65566,0.1367
5,0.13662447189835694,68282,0.1367
no_click,0.17980000000000004,89953,0.17980000000000004
