outcome,probability,count,minimum_effect_eigenvalue
0,0.1678791086925601,33321,0.05337541100571865
1,0.17167153760666698,34296,0.016666666666666722
2,0.17280454542385842,34416,0.028785790106220628
3,0.1616974021408626,32436,0.020039401122849798
4,0.15926063873782398,31969,0.039757999876339115
5,0.16668676739822785,33562,0.02177959430753068
