a,coarse_half_distance,inside_certified_maximizer_hull
0.0,0.29071582911171434,False
0.0025,0.3062761141679663,False
0.005,0.3141705774104173,False
0.0075,0.3206993037217744,False
0.01,0.32647723863362066,False
0.0125,0.3317473829837974,False
0.015,0.3366369175582918,False
0.0175,0.34122298758290925,False
0.02,0.34555694484177674,False
0.0225,0.34967524431907326,False
0.025,0.3536050201481973,False
0.0275,0.3573672151090421,False
0.03,0.36097846370980685,False
0.0325,0.36445228880183617,False
0.035,0.3677998961749559,False
0.0375,0.3710307216968698,False
0.04,0.3741528197199837,False
0.0425,0.37717314606335495,False
0.045,0.3800977688597371,False
0.0475,0.38293202875728877,False
0.05,0.3856806627529079,False
0.0525,0.3883479013846584,False
0.055,0.3909375460605536,False
0.0575,0.39345303134033915,False
0.06,0.39589747565512257,False
0.0625,0.39827372302704644,False
0.065,0.40058437770055777,False
0.0675,0.4028318331305067,False
0.07,0.40501829643315174,False
0.0725,0.4071458091561023,False
0.075,0.40921626503659275,False
0.0775,0.4112314252765568,False
0.08,0.41319293175542676,False
0.0825,0.4151023185186988,False
0.085,0.4169610218158379,False
0.08750000000000001,0.41877038891051804,False
0.09,0.4205316858461947,False
0.0925,0.422246104318136,False
0.095,0.4239147677774562,False
0.0975,0.4255387368720396,False
0.1,0.42711901431243565,False
0.10250000000000001,0.4286565492370741,False
0.105,0.43015224113985095,False
0.1075,0.4316069434137862,False
0.11,0.4330214665567034,False
0.1125,0.43439658107838813,False
0.115,0.4357330201432511,False
0.11750000000000001,0.43703148197793984,False
0.12,0.43829263206946373,False
0.1225,0.4395171051761109,False
0.125,0.44070550717062573,False
0.1275,0.441858416732713,False
0.13,0.44297638690587776,False
0.1325,0.4440599465318297,False
0.135,0.44510960157414464,False
0.1375,0.44612583634155034,False
0.14,0.44710911462004005,False
0.14250000000000002,0.4480598807220142,False
0.145,0.44897856045976364,False
0.1475,0.44986556204983774,False
0.15,0.4507212769541602,False
0.1525,0.45154608066315677,False
0.155,0.4523403334256292,False
0.1575,0.45310438092964456,False
0.16,0.4538385549382916,False
0.1625,0.4545431738837863,False
0.165,0.45521854342308415,False
0.1675,0.4558649569578574,False
0.17,0.45648269612143827,False
0.17250000000000001,0.4570720312350907,False
0.17500000000000002,0.4576332217357624,False
0.1775,0.4581665165772819,False
0.18,0.4586721546067886,False
0.1825,0.45915036491803485,False
0.185,0.45960136718305517,False
0.1875,0.4600253719635744,False
0.19,0.4604225810034073,False
0.1925,0.4607931875030021,False
0.195,0.46113737637718155,False
0.1975,0.4614553244970513,False
0.2,0.46174720091696114,False
0.2025,0.46201316708733886,False
0.20500000000000002,0.46225337705414077,False
0.20750000000000002,0.46246797764561054,False
0.21,0.4626571086469736,False
0.2125,0.462820902963646,False
0.215,0.4629594867734887,False
0.2175,0.46307297966858907,False
0.22,0.4631614947870144,True
0.2225,0.46322513893493844,True
0.225,0.463264012699511,True
0.2275,0.46327821055279844,True
0.23,0.46326782094709823,True
0.2325,0.46323292640189534,True
0.23500000000000001,0.4631736035826997,False
0.23750000000000002,0.4630899233719779,False
0.24,0.4629819509323649,False
0.2425,0.4628497457623125,False
0.245,0.46269336174431497,False
0.2475,0.4625128471858169,False
0.25,0.4623082448528953,False
0.2525,0.46207959199677795,False
0.255,0.46182692037323897,False
0.2575,0.46155025625489227,False
0.26,0.46124962043637724,False
0.2625,0.46092502823240955,False
0.265,0.4605764894686477,False
0.2675,0.46020400846530163,False
0.27,0.4598075840133841,False
0.2725,0.45938720934348487,False
0.275,0.45894287208691487,False
0.2775,0.45847455422904976,False
0.28,0.45798223205466604,False
0.28250000000000003,0.45746587608504014,False
0.28500000000000003,0.4569254510065421,False
0.28750000000000003,0.45636091559043324,False
0.29,0.4557722226035323,False
0.2925,0.4551593187093804,False
0.295,0.4545221443595011,False
0.2975,0.4538606336742986,False
0.3,0.45317471431309836,False
0.3025,0.45246430733278337,False
0.305,0.4517293270344226,False
0.3075,0.4509696807972316,False
