trial,resource,operational_monotone_before,operational_monotone_after,violation
0,signed_path,5.825252302991767,1.647077079165129,-4.178175223826638
0,nontorsion_phase,2.2226994225659107,0.8637481313337184,-1.3589512912321924
0,orientation,0.5085153073586272,0.09229602258498419,-0.41621928477364295
0,positive_scale,0.4730243374873705,0.03556893457860337,-0.4374554029087671
0,independent_cross_law,0.2556950910016327,0.0014291308210611611,-0.2542659601805715
1,signed_path,4.441386588784889,0.598027993516291,-3.843358595268598
1,nontorsion_phase,2.600619400015,2.0386993531600757,-0.5619200468549241
1,orientation,0.1800304354890172,0.036995087666526386,-0.14303534782249083
1,positive_scale,0.3420381947511134,0.06001548585440307,-0.28202270889671033
1,independent_cross_law,0.23817844506964875,0.0005946288328249594,-0.23758381623682379
2,signed_path,7.426481649697418,1.2190862522944945,-6.207395397402924
2,nontorsion_phase,2.633682301527982,0.8984129339890443,-1.7352693675389377
2,orientation,0.36423110034206563,0.0305935457043906,-0.333637554637675
2,positive_scale,0.30551703913941836,0.04210535001798223,-0.26341168912143614
2,independent_cross_law,0.20272129542392037,0.012785357968339607,-0.18993593745558077
3,signed_path,6.6000027279887385,0.7066600872815514,-5.893342640707187
3,nontorsion_phase,2.580392707515669,2.4301550093897166,-0.15023769812595233
3,orientation,0.3603576239760323,0.04672843325600799,-0.3136291907200243
3,positive_scale,1.7950482987264336,0.2643397767730389,-1.5307085219533947
3,independent_cross_law,0.1817837616633385,0.0025417597744441054,-0.17924200188889441
4,signed_path,4.246819512590551,0.5548575218940931,-3.691961990696458
4,nontorsion_phase,2.7170259014929,0.577437563161777,-2.139588338331123
4,orientation,0.6540833113286881,0.112250078888812,-0.5418332324398761
4,positive_scale,0.5068193027637841,0.018178634818755122,-0.4886406679450289
4,independent_cross_law,0.1322279794633803,0.0005148421661622417,-0.13171313729721806
5,signed_path,3.256895242579056,0.39108991041459995,-2.865805332164456
5,nontorsion_phase,2.860806132031072,2.2758438689396194,-0.5849622630914526
5,orientation,0.40063149715434637,0.0360790579831666,-0.36455243917117974
5,positive_scale,0.27207244774099837,0.002668766024341773,-0.2694036817166566
5,independent_cross_law,0.1739747853665909,0.00012791807527893275,-0.17384686729131196
6,signed_path,8.384174160914759,1.0749454874360447,-7.309228673478714
6,nontorsion_phase,2.6889273193438976,2.3271149723157167,-0.3618123470281809
6,orientation,0.2792339765409095,0.027309644992892165,-0.2519243315480173
6,positive_scale,0.7645747048363323,0.04241367766772477,-0.7221610271686075
6,independent_cross_law,0.16760508744874164,0.00506990166425795,-0.1625351857844837
7,signed_path,6.138440994934422,0.6563855629183365,-5.482055432016086
7,nontorsion_phase,2.4994063100409285,1.6488608514988006,-0.8505454585421279
7,orientation,0.5834052205716695,0.128338184677419,-0.45506703589425057
7,positive_scale,1.565361145415967,0.08796767761450269,-1.4773934678014644
7,independent_cross_law,0.17472985429274968,0.000404837415457004,-0.17432501687729268
8,signed_path,5.32887948850669,0.9483629077702771,-4.380516580736413
8,nontorsion_phase,2.537110571583706,0.559681462496735,-1.977429109086971
8,orientation,0.38534597047856695,0.029916794014820614,-0.35542917646374633
8,positive_scale,0.4939938057231506,0.003239855107974179,-0.4907539506151764
8,independent_cross_law,0.16493094852875906,0.0038369327415070285,-0.16109401578725202
9,signed_path,6.958901731307379,1.3481510596228459,-5.610750671684533
9,nontorsion_phase,2.5946828001897417,1.801754483896616,-0.7929283162931258
9,orientation,0.27143429276877323,0.0358611595295841,-0.23557313323918913
9,positive_scale,1.486935584678465,0.09026008628067857,-1.3966754983977865
9,independent_cross_law,0.1441848636022534,0.005504394080647966,-0.13868046952160545
10,signed_path,5.294808198274214,0.45865596596644853,-4.836152232307765
10,nontorsion_phase,1.9907706123328506,0.31809981912992136,-1.6726707932029292
10,orientation,0.31509325510552305,0.01537015136765367,-0.29972310373786937
10,positive_scale,1.4614504047402792,0.05837157474704509,-1.4030788299932342
10,independent_cross_law,0.25517147469220613,0.005215747191210939,-0.2499557275009952
11,signed_path,6.84982067539214,1.2592383389495225,-5.590582336442617
11,nontorsion_phase,2.9307709566387405,2.640208844878641,-0.2905621117600994
11,orientation,0.33401629486780465,0.031710405339896344,-0.3023058895279083
11,positive_scale,0.8016275134448582,0.1776211481512949,-0.6240063652935632
11,independent_cross_law,0.35895834849757147,0.016600412890250077,-0.3423579356073214
12,signed_path,9.333434610234162,1.2730043138914868,-8.060430296342675
12,nontorsion_phase,2.226239366355195,1.6585176089827753,-0.5677217573724198
12,orientation,0.6132135529313975,0.055532359711979645,-0.5576811932194178
12,positive_scale,0.24238166882710024,0.012740886672480358,-0.2296407821546199
12,independent_cross_law,0.23841047220263617,0.0023851470813652854,-0.2360253251212709
13,signed_path,6.490632832319351,1.5916808193103995,-4.898952013008952
13,nontorsion_phase,2.5195641048513897,1.5521587123893084,-0.9674053924620813
13,orientation,0.6149600483352067,0.08305178564078704,-0.5319082626944196
13,positive_scale,0.5917552096687801,0.07228125755622025,-0.5194739521125599
13,independent_cross_law,0.29801906174672177,0.019768226429997093,-0.2782508353167247
14,signed_path,6.710894266726038,0.8691600244400992,-5.8417342422859395
14,nontorsion_phase,2.71998422294753,0.28374237007472475,-2.436241852872805
14,orientation,0.5138492756962044,0.04151977711643812,-0.4723294985797663
14,positive_scale,1.261580626443313,0.06395231482426082,-1.197628311619052
14,independent_cross_law,0.11843767153837155,0.0002884049198305955,-0.11814926661854096
15,signed_path,4.84656009585987,0.9808147090302993,-3.86574538682957
15,nontorsion_phase,2.987521145722148,0.2774902193992728,-2.7100309263228755
15,orientation,0.4008009412419822,0.07227575898611314,-0.328525182255869
15,positive_scale,0.869967926338746,0.03957864513744009,-0.8303892812013058
15,independent_cross_law,0.23339728165029067,0.00633557414284051,-0.22706170750745017
16,signed_path,9.188841236303409,1.2202890300571765,-7.968552206246232
16,nontorsion_phase,1.6152704029816833,1.5085670159716862,-0.10670338700999715
16,orientation,0.2988259095931772,0.018175978337932164,-0.280649931255245
16,positive_scale,1.25334119705042,0.05902098695622162,-1.1943202100941983
16,independent_cross_law,0.23106604005403047,0.0027963567292202036,-0.22826968332481026
17,signed_path,5.096343133063222,0.3231521821963862,-4.7731909508668355
17,nontorsion_phase,2.6386942381016834,0.9266507269527199,-1.7120435111489636
17,orientation,0.36460816948868513,0.026590202313974354,-0.3380179671747108
17,positive_scale,0.8673108392218234,0.08392577848332287,-0.7833850607385006
17,independent_cross_law,0.10968199432578307,0.0022376369533976797,-0.10744435737238539
18,signed_path,6.696902822967191,1.0303898072728392,-5.666513015694352
18,nontorsion_phase,2.75592099303694,0.8007888244028974,-1.9551321686340426
18,orientation,0.21991431815470805,0.02358811191876581,-0.19632620623594224
18,positive_scale,0.4338397464462153,0.06656641295605174,-0.36727333349016356
18,independent_cross_law,0.13552127333291913,8.994670009287889e-05,-0.13543132663282625
19,signed_path,5.350943489342529,0.8052200933448584,-4.545723395997671
19,nontorsion_phase,2.3589152629304966,1.755708950530989,-0.6032063123995075
19,orientation,0.5895446238849117,0.0571595347135479,-0.5323850891713637
19,positive_scale,0.39389834156625825,0.028430843766435662,-0.36546749779982257
19,independent_cross_law,0.21695887081382895,0.001294306159189242,-0.2156645646546397
20,signed_path,6.528470121828699,1.6165768991723157,-4.911893222656383
20,nontorsion_phase,1.7004809108488097,1.1198903478899807,-0.580590562958829
20,orientation,0.30941560897425696,0.0064154368442789905,-0.303000172129978
20,positive_scale,0.4157044938125638,0.041015928144912284,-0.3746885656676515
20,independent_cross_law,0.3914308447555148,0.0016300737777260581,-0.38980077097778876
21,signed_path,4.607693660594135,0.884087417532677,-3.7236062430614583
21,nontorsion_phase,2.8492418023829633,2.4592634116086063,-0.38997839077435703
21,orientation,0.16297882136525663,0.02539652822532259,-0.13758229313993403
21,positive_scale,1.2063565005309111,0.20421488626912684,-1.0021416142617843
21,independent_cross_law,0.22713234046395778,0.0006454666286463346,-0.22648687383531144
22,signed_path,5.83144155723357,0.8680792469792895,-4.963362310254281
22,nontorsion_phase,2.8418478845627506,1.9181042280411018,-0.9237436565216488
22,orientation,0.4215846384367191,0.008759800452941488,-0.4128248379837776
22,positive_scale,0.5006475003295879,0.014652580303146074,-0.48599492002644185
22,independent_cross_law,0.19883045180141456,0.0032571055224618357,-0.19557334627895273
23,signed_path,5.518073091830425,1.0008139230504784,-4.517259168779947
23,nontorsion_phase,2.4517848397527073,1.3772375268621602,-1.0745473128905472
23,orientation,0.31718032279997255,0.07859613608095878,-0.23858418671901377
23,positive_scale,1.4839644847791915,0.18321379744240882,-1.3007506873367827
23,independent_cross_law,0.1541767686590792,0.0005942917442024187,-0.15358247691487678
24,signed_path,4.994581570855809,1.1786293567024955,-3.8159522141533135
24,nontorsion_phase,2.4333462896790516,2.0241264673784407,-0.40921982230061094
24,orientation,0.2775301505209824,0.03665711854472836,-0.24087303197625404
24,positive_scale,0.4675371414625446,0.03299677412286493,-0.43454036733967966
24,independent_cross_law,0.11033184034220625,0.0013761497932153828,-0.10895569054899086
25,signed_path,3.8204809310254557,0.590609429586207,-3.2298715014392485
25,nontorsion_phase,2.3265223651084836,1.8707583575585174,-0.45576400754996627
25,orientation,0.5946978300887251,0.048240079645886044,-0.5464577504428391
25,positive_scale,0.6533213139917029,0.04982566487173146,-0.6034956491199714
25,independent_cross_law,0.1873152846393869,0.0013232967027112766,-0.18599198793667562
26,signed_path,5.715995451503095,1.4029426431341785,-4.313052808368917
26,nontorsion_phase,1.770666875863064,1.7572911713855675,-0.013375704477496475
26,orientation,0.2868383301328068,0.0281685654882433,-0.2586697646445635
26,positive_scale,0.7749183173750143,0.08717910717154616,-0.6877392102034681
26,independent_cross_law,0.09986763401516247,0.002741710989098772,-0.0971259230260637
27,signed_path,5.95168754507558,0.8391559314608561,-5.112531613614724
27,nontorsion_phase,2.155079332459466,2.143467446423995,-0.01161188603547103
27,orientation,0.3541127611019281,0.08895998657803814,-0.26515277452388997
27,positive_scale,1.256404516444375,0.13483943557044895,-1.121565080873926
27,independent_cross_law,0.2393031201420973,0.001894071526581765,-0.2374090486155155
28,signed_path,5.225805580903141,0.4187826433596594,-4.807022937543482
28,nontorsion_phase,2.108694108672961,0.7328805208286859,-1.3758135878442752
28,orientation,0.32570144596531697,0.04403203997187538,-0.2816694059934416
28,positive_scale,0.42593943772568543,0.03346134569334015,-0.3924780920323453
28,independent_cross_law,0.21385985669803115,0.0010102333899263132,-0.21284962330810483
29,signed_path,4.10738216412243,0.2633568811318372,-3.8440252829905925
29,nontorsion_phase,2.3983936835148993,0.7972372479509914,-1.601156435563908
29,orientation,0.4848002683210236,0.03098692166226305,-0.4538133466587605
29,positive_scale,0.2803592470103047,0.02572324662793903,-0.25463600038236567
29,independent_cross_law,0.10469386908413572,0.006630943686714713,-0.09806292539742101
30,signed_path,6.226275993516717,0.5304197049470631,-5.695856288569654
30,nontorsion_phase,2.4228104714939445,0.2084079598792902,-2.2144025116146544
30,orientation,0.49069888150637475,0.07388545104166938,-0.41681343046470537
30,positive_scale,0.35753520381637816,0.02803407545793881,-0.32950112835843937
30,independent_cross_law,0.2763650712026279,0.0040328256121585455,-0.2723322455904693
31,signed_path,7.469432217473763,1.1415423156596205,-6.327889901814142
31,nontorsion_phase,1.9131925274804447,0.9323417549561333,-0.9808507725243114
31,orientation,0.2748091426415473,0.055744166940625936,-0.21906497570092137
31,positive_scale,0.25686444419342286,0.029973896638235804,-0.22689054755518706
31,independent_cross_law,0.20564231050495513,0.002180760844107993,-0.20346154966084715
32,signed_path,2.991383294143626,0.2137706865058013,-2.7776126076378245
32,nontorsion_phase,2.51316396829498,0.6674893985196589,-1.845674569775321
32,orientation,0.48672989691807683,0.10264070165010071,-0.38408919526797614
32,positive_scale,0.8229932784809901,0.04447640141558615,-0.778516877065404
32,independent_cross_law,0.21828824691178994,0.000616891088982343,-0.2176713558228076
33,signed_path,7.191928547679737,1.6558512053498888,-5.536077342329849
33,nontorsion_phase,2.415252876021691,1.7868622800176581,-0.6283905960040328
33,orientation,0.36457885342751223,0.08381230209251544,-0.2807665513349968
33,positive_scale,1.2552117964340979,0.042312195221046685,-1.212899601213051
33,independent_cross_law,0.20670910363264686,0.0007408952702162757,-0.20596820836243057
34,signed_path,6.674539238703254,0.7900079614739343,-5.8845312772293195
34,nontorsion_phase,2.6800216153564502,2.151262292930257,-0.5287593224261933
34,orientation,0.3404519844133191,0.03003782247408536,-0.3104141619392337
34,positive_scale,0.6154210666283166,0.03409823209728259,-0.5813228345310341
34,independent_cross_law,0.13307158115107093,0.0036829050231667344,-0.1293886761279042
35,signed_path,6.063395164479598,0.47580784261450576,-5.587587321865092
35,nontorsion_phase,2.9669902603358427,1.5603324271933605,-1.4066578331424822
35,orientation,0.23122186722332386,0.041790901270031336,-0.1894309659532925
35,positive_scale,1.7406440320401475,0.5236673867622444,-1.216976645277903
35,independent_cross_law,0.1928204103549056,0.0064456057330195896,-0.18637480462188602
36,signed_path,6.043880450794689,0.6073361744724289,-5.436544276322261
36,nontorsion_phase,2.831332515328985,2.168589265444636,-0.6627432498843491
36,orientation,0.3998006874759024,0.04740201309471785,-0.35239867438118455
36,positive_scale,0.6879200255671202,0.038224752296735366,-0.6496952732703848
36,independent_cross_law,0.21047665874862898,0.00477091054580597,-0.205705748202823
37,signed_path,6.2586190128586745,1.1370284123005858,-5.121590600558089
37,nontorsion_phase,2.9110270399448206,0.39961825276392116,-2.5114087871808994
37,orientation,0.2132087928381227,0.03023172156107179,-0.1829770712770509
37,positive_scale,0.8163577418792494,0.03157206790461906,-0.7847856739746303
37,independent_cross_law,0.17618231397475775,0.0031870078562740147,-0.17299530611848374
38,signed_path,6.927823115873938,1.377089251061792,-5.5507338648121465
38,nontorsion_phase,2.19711964662961,0.3568234142139084,-1.8402962324157017
38,orientation,0.34077433202927526,0.05643130553152503,-0.28434302649775023
38,positive_scale,0.15634688782777267,0.059438984546028875,-0.0969079032817438
38,independent_cross_law,0.2756056981900499,0.0001227840868418431,-0.275482914103208
39,signed_path,7.93949892035983,1.2458288921115823,-6.693670028248247
39,nontorsion_phase,2.369139794708634,1.9030394175063616,-0.4661003772022725
39,orientation,0.2828063216072461,0.01152235022241882,-0.2712839713848273
39,positive_scale,0.7121073008287389,0.12536079068079792,-0.586746510147941
39,independent_cross_law,0.05224342153827001,0.0008435774074698197,-0.05139984413080019
40,signed_path,6.532484506110504,1.1966389855699593,-5.335845520540545
40,nontorsion_phase,2.4706346532311825,0.7952564220976783,-1.6753782311335041
40,orientation,0.34933485593004865,0.01338005771543739,-0.33595479821461127
40,positive_scale,0.28662787737731715,0.03473015378204239,-0.25189772359527474
40,independent_cross_law,0.15420856255488904,0.001577208711581758,-0.15263135384330728
41,signed_path,3.143261365314987,0.45307293723295905,-2.690188428082028
41,nontorsion_phase,2.202544235723118,0.3389524184852704,-1.8635918172378476
41,orientation,0.3611668639859722,0.05623538374787719,-0.304931480238095
41,positive_scale,2.1553122113309606,0.06553034530450041,-2.08978186602646
41,independent_cross_law,0.42259146878032144,0.01577602460837413,-0.4068154441719473
42,signed_path,5.798806793390066,1.3303463603354992,-4.468460433054567
42,nontorsion_phase,2.8743478419395054,0.8344266340246417,-2.0399212079148636
42,orientation,0.4798138316535842,0.050681129554706134,-0.4291327020988781
42,positive_scale,1.0022170656235325,0.04583038729208967,-0.9563866783314429
42,independent_cross_law,0.1158560670670474,0.0043354570404625335,-0.11152061002658487
43,signed_path,5.250213847676825,0.945403415670055,-4.30481043200677
43,nontorsion_phase,2.712965158321091,2.5039147966562916,-0.2090503616647994
43,orientation,0.5364551985379611,0.07535842630256764,-0.46109677223539347
43,positive_scale,0.40777888584604277,0.004423195907237755,-0.403355689938805
43,independent_cross_law,0.13956151562572364,0.0011052039909491083,-0.13845631163477454
44,signed_path,6.564121138512882,1.247633977738138,-5.316487160774744
44,nontorsion_phase,1.723021404160042,0.6439987184435352,-1.0790226857165068
44,orientation,0.314869901821127,0.029837312077859973,-0.28503258974326706
44,positive_scale,0.8181531561126942,0.10383025967291915,-0.7143228964397751
44,independent_cross_law,0.2592744175436774,0.004391885966216518,-0.2548825315774609
45,signed_path,6.391288462293679,1.1876612218164606,-5.203627240477219
45,nontorsion_phase,2.747413126969569,2.2943573006773557,-0.4530558262922133
45,orientation,0.5012223686548803,0.028783804902505677,-0.4724385637523747
45,positive_scale,0.5197082234262173,0.04352718982729715,-0.4761810335989201
45,independent_cross_law,0.12006620303344173,0.0006960382782884419,-0.11937016475515329
46,signed_path,4.403229174096655,0.5966594856063746,-3.8065696884902804
46,nontorsion_phase,2.286396301261969,1.4949806362511682,-0.7914156650108009
46,orientation,0.3813104708951268,0.050512830622208724,-0.3307976402729181
46,positive_scale,0.7172097216462384,0.012564265430938394,-0.7046454562153001
46,independent_cross_law,0.28649644825771947,0.003188286163296302,-0.28330816209442317
47,signed_path,7.972623362515057,1.409548063422279,-6.563075299092778
47,nontorsion_phase,2.4331771021081634,2.4320504159420606,-0.001126686166102786
47,orientation,0.4942235606467528,0.027405344669838808,-0.46681821597691403
47,positive_scale,0.9087938956112478,0.023905540002067707,-0.8848883556091801
47,independent_cross_law,0.1363453934871887,0.003891787395797538,-0.13245360609139115
48,signed_path,6.569166710262093,1.0596367087350136,-5.509530001527079
48,nontorsion_phase,1.80858544654697,0.19263961245026634,-1.6159458340967037
48,orientation,0.48075777551962756,0.06426934571156954,-0.416488429808058
48,positive_scale,0.5503767430405281,0.058139730876694676,-0.4922370121638334
48,independent_cross_law,0.264547198066719,0.009727138530356082,-0.25482005953636294
49,signed_path,6.80505466879451,1.062017691141615,-5.743036977652895
49,nontorsion_phase,2.636568470677707,1.2856957769177813,-1.3508726937599258
49,orientation,0.34847763872110027,0.02353514774894032,-0.32494249097215994
49,positive_scale,0.7625296073088583,0.007938518098318996,-0.7545910892105393
49,independent_cross_law,0.12127271826702063,0.00014817869001586682,-0.12112453957700477
50,signed_path,6.784532675108471,1.0330933849853141,-5.751439290123157
50,nontorsion_phase,2.75680127728032,1.460385657656662,-1.2964156196236578
50,orientation,0.34676004464960997,0.03760874089830209,-0.3091513037513079
50,positive_scale,0.1665767330280176,0.02128359759448521,-0.1452931354335324
50,independent_cross_law,0.10830324921218301,0.0008426558520796277,-0.10746059336010338
51,signed_path,5.211155514092718,1.1903564779685414,-4.020799036124177
51,nontorsion_phase,2.7056467491414704,1.2298538155052483,-1.475792933636222
51,orientation,0.2099978625402608,0.03469648307646547,-0.17530137946379531
51,positive_scale,0.4662164119889729,0.04619914420648335,-0.42001726778248955
51,independent_cross_law,0.13876081962487255,0.0027966234970558555,-0.13596419612781668
52,signed_path,7.877014707000617,1.9699473347786474,-5.90706737222197
52,nontorsion_phase,1.8843725683350483,0.2144690510877315,-1.6699035172473167
52,orientation,0.25352195663650184,0.006366721052151067,-0.24715523558435076
52,positive_scale,0.36906254506382546,0.009223603024675333,-0.3598389420391501
52,independent_cross_law,0.07303775558880653,0.0004842178707579771,-0.07255353771804855
53,signed_path,6.629880748233439,1.79999957778539,-4.829881170448049
53,nontorsion_phase,2.017308414718727,0.2375639733646437,-1.779744441354083
53,orientation,0.39893777092192234,0.08440306985061907,-0.31453470107130327
