row_type,contact,trace_product,frobenius_product_norm,slack_minimum_eigenvalue,primal_minimum_eigenvalue,parameters,residual_two_norm,residual_infinity_norm,support_lambda,primal_value,support_gap,sum_trace_contacts,least_squares_cost,least_squares_optimality,function_evaluations
kkt_contact,Tplus_times_X3_minus_halfDelta,-4.198098375228894e-16,7.5949391364966895e-16,-2.4128800706471317e-15,-5.087469958381305e-17,,,,,,,,,,
kkt_contact,Tminus_times_X3_plus_halfDelta,-1.3479752359308358e-16,5.354652872533328e-16,-1.4671600374876284e-15,-2.5731295890784608e-17,,,,,,,,,,
kkt_contact,B0_times_X2_minus_X3_block0,-1.730064946349147e-16,2.2701333283365563e-16,-8.001709592427051e-16,0.057723558496969855,,,,,,,,,,
kkt_contact,B1_times_X2_minus_X3_block1,-6.57836002638275e-17,1.897889056975178e-16,-8.225610135843948e-16,0.05772355849696987,,,,,,,,,,
kkt_contact,C0_times_X1_minus_X2_block0,-1.721087369554608e-16,1.4966379827150905e-16,-7.593406809946809e-16,0.13755442180991004,,,,,,,,,,
kkt_contact,C1_times_X1_minus_X2_block1,2.5670886427136546e-16,2.64989703698271e-16,-4.932134968601929e-18,0.13755442180991004,,,,,,,,,,
kkt_contact,d0_times_lambda_minus_X1_diag0,-5.551115123125783e-17,5.551115123125783e-17,-1.1102230246251565e-16,0.5,,,,,,,,,,
kkt_contact,d1_times_lambda_minus_X1_diag1,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-16,0.5,,,,,,,,,,
stationarity_summary,,,,,,"[0.2871664153717576, 0.06877721090495502, 0.009493709596691087]",2.7644330375917142e-15,1.3322676295501878e-15,0.5233281002710407,0.5233281002710412,-4.440892098500626e-16,-7.087973286988105e-16,3.821045009664276e-30,1.5497898555903486e-14,6
