target,same_legacy_input,target_frobenius_distance_from_frozen,parent_minimum_eigenvalue,parent_rank,cross_support_fraction,cross_law_reads_target
frozen_strict,True,0.0,-1.0916286914843915e-14,11,1.0,True
admissible_alternative_A,True,0.6081536544668106,-1.4736571027314673e-14,11,1.0,True
admissible_alternative_B,True,1.8323231048699207,-1.2742589698674714e-14,11,1.0,True
