atom,node,weight,odd_contribution,reflected_contribution
0,0.019826532267005523,-0.6263975202722428,-0.07783103434609308,0.07783103434609297
1,0.12942143496593872,0.6199498168348376,0.4503782472731849,-0.4503782472731849
2,0.2950420036616848,0.5921198733170435,0.5685653576631926,-0.5685653576631926
3,0.5266898453623859,0.3211350863146134,-0.053601409196406026,0.0536014091964061
4,0.814059045463453,0.14195366099001397,-0.13060965944102984,0.13060965944102979
5,0.9418486479939021,-0.08095594812758317,0.0289255795931596,-0.028925579593159608
6,1.0,0.019020934133646014,-4.658785220712445e-18,0.0
