0.100000	9.8437944992643907
0.200000	2.1960778930736682
0.300000	-5.1441923611218083
0.400000	-12.172751448976008
0.500000	-18.911629722846893
0.600000	-25.401557431992934
0.700000	-31.69081308397811
0.800000	-37.826138403793905
0.900000	-43.847272516745385
1.000000	-49.785009237194672
1.100000	-55.661748638035313
1.200000	-61.493179319192933
1.300000	-67.290099550106575
1.400000	-73.059928414444983
1.500000	-78.807813995037421
1.600000	-84.537395416941337
1.700000	-90.251309649773646
1.800000	-95.951523319762316
1.900000	-101.63954887752196
2.000000	-107.31658567822873
